Brand,Product Name,Shipping info
GIGABYTE,GIGABYTE A520M S2H mATX AM4 4+3 Phases Digital PWM| GIGABYTE Gaming GbE LAN| NVMe PCIe 3.0 x4 M.2| 3 Display Interfaces| Q-Flash Plus| RGB Fusion 2.0| Motherboard,$3.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTGAMING OC-12GD Video Card,$49.99 Shipping
ASUS,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),Free Shipping
ASUS,ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0| 10GB GDDR6X| LHR| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| Military-grade Certification| GPU Tweak II),Free Shipping
ABS,ABS Master Gaming PC - Intel i7 11700F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,Free Shipping
ABS,ABS Challenger Gaming PC - Ryzen 5 3600 - GeForce GTX 1650 - 16GB DDR4 3000MHz - 512GB SSD,Free Shipping
ABS,ABS Gladiator Gaming PC - Intel i5 10600K - GeForce RTX 3070 Ti 8GB - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,Free Shipping
ABS,ABS Challenger Gaming PC - Ryzen 5 3600 - GeForce GTX 1660 - 16GB DDR4 3000MHz - 512GB SSD,Free Shipping
ABS,ABS Gladiator Gaming PC - Intel i7 10700KF - GeForce RTX 3070 8GB - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,Free Shipping
ABS,ABS Legend Gaming PC - Intel i7 10700KF - EVGA GeForce RTX 3080 Ti XC3 Ultra Gaming - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel 670P M.2 NVMe SSD - 240MM RGB AIO,Free Shipping
ABS,ABS Gladiator Gaming PC - Ryzen 7 3700X - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB Intel M.2 NVMe SSD,Free Shipping
ABS,ABS Legend Gaming PC - Intel i9 11900K - ASUS ROG STRIX GeForce RTX 3090 O24GB - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 2TB Intel 670P M.2 NVMe - Corsair H115i RGB Platinum 280MM - Windows 10 Pro,Free Shipping
ABS,ABS Gladiator Gaming PC - Ryzen 7 3700X - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,Free Shipping
yeston,Yeston Radeon RX6800XT 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 2*DP+1*HDMI-compatible +1*Type c  RGB light effect Fragrant graphics card,Free Shipping
ABS,ABS Gladiator Gaming PC - Ryzen 7 5800X - EVGA GeForce RTX 3070 XC3 Ultra Gaming 8GB - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB M.2 NVMe SSD - RGB CPU Cooler,Free Shipping
ABS,ABS Master Gaming PC - AMD Ryzen 5 5600X - Radeon RX 6600 XT - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 512GB Intel 660P M.2 NVMe SSD - RGB CPU Cooler,Free Shipping
ASUS,ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G),Free Shipping
